video_id,student_id,age,gender,major,education,attitude,exam,focus,curiosity,interest,priors,compliance,smartness,family
1,1000,from 25 to 31 years old,male,Health and Life Sciences,master,not motivated at all,has low GPA and often makes mistakes in post-test of the course,very focused,not curious at all in the course,not interested at all in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,not smart and understands things slowly,parents have a strong academic background
1,1001,from 18 to 24 years old,female,Social Sciences,master,not motivated at all,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,curious to explore everything in the course,super interested in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents have a strong academic background
1,1002,from 32 to 38 years old,others in addition to female or male,Health and Life Sciences,doctor,not motivated at all,has high GPA and often answers post-test questions correctly after the course,usually absent-minded,curious to explore everything in the course,not interested at all in the course,strong background with prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents have a strong academic background
1,1003,from 18 to 24 years old,female,Health and Life Sciences,doctor,very motivated,has low GPA and often makes mistakes in post-test of the course,very focused,curious to explore everything in the course,not interested at all in the course,no background without any prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents have a strong academic background
1,1004,from 18 to 24 years old,male,Natural Sciences,master,not motivated at all,has high GPA and often answers post-test questions correctly after the course,very focused,curious to explore everything in the course,super interested in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,not smart and understands things slowly,parents have a strong academic background
1,1005,from 32 to 38 years old,male,Natural Sciences,high school,very motivated,has high GPA and often answers post-test questions correctly after the course,usually absent-minded,curious to explore everything in the course,super interested in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents do not care about education at all
1,1006,from 32 to 38 years old,others in addition to female or male,Humanities and Arts,undergraduate,very motivated,has high GPA and often answers post-test questions correctly after the course,very focused,curious to explore everything in the course,not interested at all in the course,no background without any prior knowledge in this course,well-behaved to follow teachers teaching pace,smart to understand everything fast,parents have a strong academic background
1,1007,larger than 39 years old,others in addition to female or male,Health and Life Sciences,master,very motivated,has high GPA and often answers post-test questions correctly after the course,very focused,not curious at all in the course,super interested in the course,strong background with prior knowledge in this course,unwilling and struggling to follow teachers,not smart and understands things slowly,parents have a strong academic background
1,1008,from 18 to 24 years old,female,Humanities and Arts,doctor,very motivated,has low GPA and often makes mistakes in post-test of the course,very focused,curious to explore everything in the course,not interested at all in the course,no background without any prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents do not care about education at all
1,1009,from 32 to 38 years old,female,Humanities and Arts,undergraduate,very motivated,has low GPA and often makes mistakes in post-test of the course,usually absent-minded,not curious at all in the course,super interested in the course,no background without any prior knowledge in this course,unwilling and struggling to follow teachers,smart to understand everything fast,parents have a strong academic background
